dex,contour,solidity,symmetry,aspect,occupancy,eff_colors,edge_density,area
115,1.6700138714406803,0.7941370264927832,0.5697925882237295,0.9827586206896551,0.4873504638671875,22,0.2500391371051066,31939
116,1.7539780313026996,0.707859835264554,0.38930293730819815,0.9137931034482759,0.3868408203125,21,0.19722309876932786,25352
117,1.9370111264530343,0.6742236878263259,0.5242680748621573,1.1485148514851484,0.29949951171875,20,0.2751681271652741,19628
118,1.577551444725477,0.7679863147605083,0.523463253829746,1.7846153846153847,0.2397613525390625,20,0.24686565264430727,15713
119,1.6307147086530698,0.781647925400619,0.661853723551952,1.0691244239631337,0.4566192626953125,19,0.2646616541353383,29925
120,1.371999272109706,0.6728367443465811,0.6467680370439898,0.9439655172413793,0.4015655517578125,22,0.2217957973933199,26317
121,1.4902885294023733,0.7403536788708579,0.9009286058851905,1.045045045045045,0.4810333251953125,21,0.2718160190325139,31525
122,2.982508390269901,0.5250516127600062,0.5166399487015069,1.045045045045045,0.36090087890625,22,0.2954507018433959,23652
123,2.9115226827635188,0.4554378137200223,0.3163536713145805,0.8879310344827587,0.24920654296875,21,0.3885623316189077,16332
124,1.9060597159939918,0.7561450209374367,0.7957116451016636,1.2275132275132274,0.3705902099609375,21,0.28822003540989005,24287
125,2.682685611097989,0.5065997630496899,0.20199748660625702,1.0175438596491229,0.2772979736328125,21,0.3650470478181918,18173
126,2.664131220263655,0.5578997811192705,0.4413437730040822,1.0265486725663717,0.328643798828125,22,0.3014671742965921,21538
127,2.455472208368162,0.5885086205725311,0.3844727842234794,0.9612068965517241,0.330474853515625,20,0.34112106381013946,21658
128,3.1686928005371233,0.49834694937020135,0.4732633279483037,1.0841121495327102,0.2783050537109375,19,0.25385163660288396,18239
129,2.0593044324770133,0.648306226974571,0.532823454429573,0.9008620689655172,0.3302764892578125,22,0.30219450219450217,21645
130,3.0545911472744214,0.6036532529201761,0.37398919174786005,0.8232758620689655,0.2657470703125,22,0.4419499310978411,17416
131,1.7776709069149608,0.6245049692739549,0.7119208052574661,1.0357142857142858,0.3140106201171875,22,0.25822440351814957,20579
