file,role,occupancy,aspect,eff_colors,regions,small_regions,contour,solidity,symmetry,edge_density,complexity
141.png,cool,0.294296875,0.8835616438356164,45,26,54,3.015992354539725,0.5376628010704728,0.4534580881643677,0.48593044863286433,1.0
142.png,solo,0.1727734375,1.6043956043956045,46,22,59,2.8207087361159897,0.5018437624099393,0.43603896103896106,0.5114175898711282,1.0
143.png,solo,0.447734375,1.2586206896551724,43,19,9,1.2252305551174363,0.8854383932020085,0.8655598958333334,0.2330308846623626,0.718943622091041
144.png,legend,0.3143359375,0.8835616438356164,49,18,46,3.5094758799744588,0.5444888016780567,0.28300382653061223,0.45445507642599725,1.0
145.png,legend,0.21375,1.4455445544554455,45,23,49,3.5694218051813142,0.5991787571858747,0.6256684491978609,0.4824561403508772,1.0
146.png,legend,0.1503125,2.1470588235294117,47,32,112,2.664864628318688,0.5378809057869723,0.421499815293683,0.4573804573804574,1.0
147.png,cute,0.2494921875,1.028169014084507,44,18,41,1.980201892182953,0.48252936954633024,0.0836443841194435,0.33098481290120557,0.941531936138919
148.png,cool,0.2382421875,0.9178082191780822,48,16,31,2.2070235207072515,0.46937047868246884,0.43742634928116897,0.38711264141662566,1.0
149.png,pseudo,0.301953125,0.773972602739726,44,18,54,2.25559252176096,0.6233368276751875,0.4873965749470849,0.38771021992238036,1.0
15.png,bug_fast,0.3007421875,0.821917808219178,48,39,72,2.4723175284878276,0.5674380896226415,0.364103472714387,0.5431874269385635,1.0
150.png,legend,0.2542578125,0.821917808219178,50,22,45,3.069958100205007,0.535896591470443,0.3086047446722959,0.4254109694269473,1.0
151.png,legend,0.2371875,0.9863013698630136,48,22,59,3.14592933410506,0.47608593382468245,0.2737570799244808,0.4346179183135705,1.0
16.png,zako,0.3638671875,0.9315068493150684,46,24,45,1.8063092813330148,0.7258347294190984,0.3614440222157264,0.40461621041331186,0.9179811002777114
17.png,zako,0.308984375,0.863013698630137,48,27,83,2.2932168464621503,0.5763835756184646,0.5104067214053848,0.5308470290771176,1.0
18.png,cool,0.3198046875,0.958904109589041,48,24,58,2.004673482878743,0.5633773740710157,0.23168346622536481,0.4744106510321241,0.9593069755997381
19.png,zako,0.3262890625,1.140625,42,33,48,2.1081161287639145,0.6252713526461562,0.5159709618874773,0.3924338560996049,0.9808575268258155
2.png,starter,0.4941015625,1.0735294117647058,42,25,49,1.592724633380323,0.8338991989979233,0.6724844638371017,0.3541781959048146,0.8734842986209006
20.png,zako,0.4041796875,1.028169014084507,41,20,51,2.0882515846876872,0.6777140985754053,0.49674526254882106,0.40272542766019137,0.9767190801432681
21.png,zako,0.3633203125,0.9726027397260274,44,21,29,2.310773280212822,0.5909524112078277,0.5069669475048607,0.3741533168476508,1.0
22.png,zako,0.300390625,1.0735294117647058,48,22,49,3.101051166170876,0.5479744896141376,0.25285109156076896,0.4808842652795839,1.0
23.png,zako,0.5184765625,1.0138888888888888,44,32,67,1.5646290123509892,0.7414876679422362,0.4783916239697037,0.3634445867550667,0.8676310442397894
24.png,cool,0.457734375,0.8904109589041096,52,26,25,1.3915844853155601,0.8123678463724913,0.5186625194401244,0.3389656938044035,0.8242238969770107
25.png,cute,0.3548046875,1.0735294117647058,42,24,33,2.0216273974004815,0.6402340170578699,0.4223300970873786,0.2552020257624133,0.8996403916333758
26.png,cute,0.2312890625,1.123076923076923,45,21,45,2.8998398983911704,0.4768462591608279,0.18348990605636617,0.39706130721161964,1.0
27.png,zako,0.4403515625,0.9041095890410958,42,36,63,1.325793422615727,0.7641934718503203,0.43935137895812054,0.41213519027765455,0.8178736297116098
28.png,zako,0.3794921875,1.042857142857143,49,33,48,2.06638320375517,0.6845164699665316,0.5804457458923052,0.3766340710241894,0.9721631674489939
29.png,zako,0.4966796875,1.042857142857143,48,20,30,1.4509915366691135,0.8240974787737377,0.8339824030001443,0.3023200943767204,0.8121699663905456
3.png,starter,0.4033203125,1.280701754385965,50,23,38,1.7323459596848176,0.850669412976313,0.8983268983268984,0.4094915254237288,0.9025720749343371
30.png,zako,0.37125,0.8767123287671232,43,24,49,1.7766841391173296,0.734495150508134,0.4441574228840602,0.35963804713804715,0.9118091956494436
31.png,cool,0.4653125,0.9657534246575342,42,33,43,1.6826109628602473,0.7607369799150621,0.5965688245543492,0.3630792478173271,0.8922106172625515
32.png,zako,0.493359375,0.9041095890410958,49,16,24,1.5562704891797785,0.8024907075007148,0.7741255794353139,0.2828978622327791,0.8211549267343066
33.png,zako,0.4065625,0.8972602739726028,46,24,43,1.9687538474124868,0.6757344586917708,0.5439845720219552,0.35184473481936973,0.9518237182109348
34.png,cool,0.34515625,1.3035714285714286,49,32,60,1.8696282476077244,0.719573272527383,0.592072072072072,0.4014259846084201,0.9311725515849425
35.png,cute,0.6021484375,0.9931506849315068,39,23,38,1.1655761935941116,0.911860396332446,0.8030294169249663,0.2050600064871878,0.6878683779902319
36.png,cute,0.512890625,1.0138888888888888,38,27,37,1.6174396100804442,0.8226043918178116,0.7478700745473909,0.2297029702970297,0.7984352322981124
37.png,cute,0.4444921875,1.1317829457364341,42,29,30,1.6792553653209772,0.8331075886810411,0.5828348866323549,0.3011688197556903,0.8589574142789972
38.png,cool,0.515,1.042857142857143,48,44,39,1.7517051252707225,0.7931418258384719,0.6324913323427439,0.31272754854368934,0.8817569334605269
39.png,cute,0.461484375,1.0579710144927537,45,20,21,1.1445510660031584,0.8614240402493711,0.6641780532469362,0.2777213475537498,0.7319290371198246
4.png,starter,0.356015625,0.8835616438356164,43,21,32,2.0152314421829027,0.6428269149386373,0.28122583819498137,0.33936800526662275,0.9544185539658533
40.png,cute,0.3835546875,0.821917808219178,42,26,18,1.4461893209377683,0.7240616473711379,0.6761693410720382,0.29616050514308995,0.8070631119574284
41.png,zako,0.256484375,1.0579710144927537,44,19,44,2.6318820632515387,0.4563049445776434,0.23143285821455364,0.3880597014925373,1.0
42.png,zako,0.27671875,1.168,43,18,24,2.168503225150883,0.5384410747539239,0.45821325648414984,0.38071710897797856,0.993438171906434
43.png,zako,0.38109375,0.9041095890410958,40,18,13,1.6621957089399941,0.7548454485666757,0.42715038033937974,0.27224272242722425,0.8361192543139816
44.png,zako,0.3795703125,1.226890756302521,45,23,37,2.1062347849387937,0.7353007945516459,0.7023475823405746,0.3290110116291036,0.9664729212816511
45.png,zako,0.448828125,1.106060606060606,44,19,52,1.4237453502695736,0.8153273017562533,0.5356856455493184,0.2792863359442994,0.7911378386023609
46.png,zako,0.3528515625,1.2166666666666666,44,32,47,1.8520966770822906,0.6935657248157249,0.5317958283873155,0.3828185541901915,0.9275201410588105
47.png,gag,0.4225,1.0656934306569343,38,24,21,1.7766546981912517,0.7710568526109428,0.5634576467187048,0.23982988165680474,0.8383563165610473
48.png,zako,0.3426171875,0.8493150684931506,43,15,16,2.250044535717099,0.7170829415852512,0.45071121402580216,0.33964200205221756,0.9752375251776688
49.png,zako,0.2637890625,1.5208333333333333,48,27,53,1.7232584243626456,0.6974798595331543,0.6178725443219933,0.5045165111802162,0.9006788384088846
5.png,starter,0.30484375,0.8493150684931506,42,17,47,2.4556291348312933,0.6343941795715969,0.37080625329351835,0.3509738595592004,1.0
50.png,gag,0.5036328125,1.0895522388059702,44,16,30,1.1303930360483576,0.9142998971740595,0.9318249925082409,0.2305126812999302,0.6975070033766947
51.png,gag,0.5076171875,1.042857142857143,42,32,36,1.1556433023410817,0.9097910176077292,0.7811129385964912,0.2554828780300115,0.7194142733410664
52.png,cute,0.2580859375,0.7602739726027398,48,35,58,3.0436345680426795,0.5338558500323206,0.43974722161691,0.5223248070228546,1.0
53.png,cool,0.279296875,1.123076923076923,46,19,40,2.62552875724049,0.5222027461291265,0.25548726953467954,0.37622377622377623,1.0
54.png,gag,0.412734375,0.7671232876712328,39,18,24,1.3529653805652413,0.878158244680851,0.7743073047858942,0.23925799734999054,0.7497064525177524
55.png,cool,0.2982421875,1.0138888888888888,46,25,58,2.3793483790440004,0.5153038841831742,0.41888124883850586,0.39148657498362804,1.0
56.png,zako,0.2264453125,1.4038461538461537,48,19,34,2.8269488838312085,0.5331555228547779,0.3779415260280485,0.43798516474038296,1.0
57.png,cool,0.4054296875,0.958904109589041,47,23,42,2.1348712567963344,0.7828480917182079,0.5272218952324897,0.3671837363907891,0.9864315118325697
58.png,cute,0.361953125,0.6986301369863014,49,28,29,1.5063019525510615,0.8538124856023958,0.5305583085563264,0.34977336499028705,0.8553284834416626
59.png,cool,0.4626171875,1.0656934306569343,48,34,30,2.1074377196767715,0.7898756127655318,0.6582189862783534,0.39331250527737904,0.9807161915993274
6.png,starter,0.3187109375,1.280701754385965,42,19,37,2.970004575382782,0.6404992738548495,0.5612323000382702,0.37884544674592474,1.0
60.png,zako,0.3369140625,1.280701754385965,53,23,30,1.3972475211144884,0.8074330649691069,0.20276112118254078,0.43420289855072464,0.832759900232185
61.png,zako,0.3769921875,1.140625,50,22,39,1.5793253256911348,0.7590546226748988,0.5672296200064956,0.44223396539218734,0.8706927761856531
62.png,cool,0.275859375,1.46,46,21,25,1.6482106024408372,0.6664779161947905,0.7149101505585236,0.47182101387708864,0.8850438755085077
63.png,zako,0.272109375,1.4313725490196079,45,32,58,2.088775707621367,0.6224922925695903,0.4789808917197452,0.39376973873097904,0.9768282724211181
64.png,cool,0.323515625,0.8493150684931506,41,28,54,2.560398135255893,0.5934790397706915,0.4395967321397532,0.4682443854141512,1.0
65.png,cool,0.3196484375,1.123076923076923,43,29,66,2.9531721993996682,0.5504321797329567,0.49734675205855444,0.4758645973359404,1.0
66.png,zako,0.3059765625,0.8287671232876712,43,28,71,1.7052371546986351,0.6929712036095015,0.533476898981989,0.35286607940763437,0.8969244072288824
67.png,zako,0.3791015625,0.8356164383561644,43,24,69,1.7524624466047656,0.6729069162766511,0.7110366713681241,0.3947449768160742,0.9067630097093262
68.png,cool,0.32625,0.8767123287671232,44,27,55,2.311967063855373,0.5634677011300387,0.3959552064181849,0.4316331417624521,1.0
69.png,zako,0.25359375,0.8561643835616438,40,15,27,2.986447218557381,0.4940451276587649,0.4895032694734427,0.33749229821318544,0.9738043892849808
7.png,starter,0.42734375,0.958904109589041,46,28,40,1.464489413425008,0.7772922661551032,0.49351535836177474,0.3245886654478976,0.8298277380954752
70.png,zako,0.3395703125,1.3035714285714286,37,14,15,1.3584903857037538,0.8423857745045787,0.5956314243759178,0.27493385482572186,0.7389271145244775
